Distrito,variable,value,Fecha
Villalba,Ases.,0,Mayo 2017
Yabucoa,Ases.,3,Mayo 2017
Yauco,Ases.,0,Mayo 2017
Adjuntas,Viol.,0,Mayo 2017
Aguada ,Viol.,0,Mayo 2017
Aguadilla,Viol.,0,Mayo 2017
Aguas Buenas,Viol.,0,Mayo 2017
Aibonito,Viol.,0,Mayo 2017
Añasco,Viol.,1,Mayo 2017
Arecibo,Viol.,1,Mayo 2017
Arroyo,Viol.,0,Mayo 2017
Barceloneta,Viol.,0,Mayo 2017
Barranquitas,Viol.,0,Mayo 2017
Bayamón,Viol.,6,Mayo 2017
Cabo Rojo,Viol.,0,Mayo 2017
Caguas,Viol.,1,Mayo 2017
Camuy,Viol.,2,Mayo 2017
Canóvanas,Viol.,4,Mayo 2017
Carolina,Viol.,2,Mayo 2017
Cataño,Viol.,0,Mayo 2017
Cayey,Viol.,5,Mayo 2017
Ceiba,Viol.,2,Mayo 2017
Ciales,Viol.,0,Mayo 2017
Cidra,Viol.,1,Mayo 2017
Coamo,Viol.,1,Mayo 2017
Comerío,Viol.,1,Mayo 2017
Corozal,Viol.,0,Mayo 2017
Culebra,Viol.,0,Mayo 2017
Dorado,Viol.,3,Mayo 2017
Fajardo,Viol.,1,Mayo 2017
Florida,Viol.,0,Mayo 2017
Guánica,Viol.,1,Mayo 2017
Guayama,Viol.,2,Mayo 2017
Guayanilla,Viol.,0,Mayo 2017
Guaynabo,Viol.,1,Mayo 2017
Gurabo,Viol.,0,Mayo 2017
Hatillo,Viol.,0,Mayo 2017
Hormigueros,Viol.,1,Mayo 2017
Humacao,Viol.,3,Mayo 2017
Isabela,Viol.,0,Mayo 2017
Jayuya,Viol.,4,Mayo 2017
Juana Díaz,Viol.,1,Mayo 2017
Juncos,Viol.,1,Mayo 2017
Lajas,Viol.,0,Mayo 2017
Lares,Viol.,2,Mayo 2017
Las Marías,Viol.,0,Mayo 2017
Las Piedras,Viol.,1,Mayo 2017
Loiza,Viol.,0,Mayo 2017
Luquillo,Viol.,0,Mayo 2017
Manatí,Viol.,0,Mayo 2017
Maricao,Viol.,0,Mayo 2017
Maunabo,Viol.,1,Mayo 2017
Mayagüez,Viol.,0,Mayo 2017
Moca,Viol.,0,Mayo 2017
Morovis,Viol.,0,Mayo 2017
Naguabo,Viol.,1,Mayo 2017
Naranjito,Viol.,2,Mayo 2017
Orocovis,Viol.,1,Mayo 2017
Patillas,Viol.,0,Mayo 2017
Peñuelas,Viol.,0,Mayo 2017
Ponce,Viol.,3,Mayo 2017
Quebradillas,Viol.,0,Mayo 2017
Rincón,Viol.,0,Mayo 2017
Rio Grande,Viol.,4,Mayo 2017
Sabana Grande,Viol.,0,Mayo 2017
Salinas,Viol.,0,Mayo 2017
San Germán,Viol.,0,Mayo 2017
San Juan,Viol.,6,Mayo 2017
San Lorenzo,Viol.,0,Mayo 2017
San Sebastián,Viol.,0,Mayo 2017
Santa Isabel,Viol.,0,Mayo 2017
Toa Alta,Viol.,1,Mayo 2017
Toa Baja,Viol.,1,Mayo 2017
Trujillo Alto,Viol.,3,Mayo 2017
Utuado,Viol.,4,Mayo 2017
Vega Alta,Viol.,1,Mayo 2017
Vega Baja,Viol.,0,Mayo 2017
Vieques,Viol.,0,Mayo 2017
Villalba,Viol.,1,Mayo 2017
Yabucoa,Viol.,3,Mayo 2017
Yauco,Viol.,2,Mayo 2017
Adjuntas,Trata Hum.,0,Mayo 2017
Aguada ,Trata Hum.,0,Mayo 2017
Aguadilla,Trata Hum.,0,Mayo 2017
Aguas Buenas,Trata Hum.,0,Mayo 2017
Aibonito,Trata Hum.,0,Mayo 2017
Añasco,Trata Hum.,0,Mayo 2017
Arecibo,Trata Hum.,0,Mayo 2017
Arroyo,Trata Hum.,0,Mayo 2017
Barceloneta,Trata Hum.,0,Mayo 2017
Barranquitas,Trata Hum.,0,Mayo 2017
Bayamón,Trata Hum.,0,Mayo 2017
Cabo Rojo,Trata Hum.,0,Mayo 2017
Caguas,Trata Hum.,0,Mayo 2017
Camuy,Trata Hum.,0,Mayo 2017
Canóvanas,Trata Hum.,0,Mayo 2017
Carolina,Trata Hum.,0,Mayo 2017
Cataño,Trata Hum.,0,Mayo 2017
Cayey,Trata Hum.,0,Mayo 2017
Ceiba,Trata Hum.,0,Mayo 2017
Ciales,Trata Hum.,0,Mayo 2017
Cidra,Trata Hum.,0,Mayo 2017
Coamo,Trata Hum.,0,Mayo 2017
Comerío,Trata Hum.,0,Mayo 2017
Corozal,Trata Hum.,0,Mayo 2017
Culebra,Trata Hum.,0,Mayo 2017
Dorado,Trata Hum.,0,Mayo 2017
Fajardo,Trata Hum.,0,Mayo 2017
Florida,Trata Hum.,0,Mayo 2017
Guánica,Trata Hum.,0,Mayo 2017
Guayama,Trata Hum.,0,Mayo 2017
Guayanilla,Trata Hum.,0,Mayo 2017
Guaynabo,Trata Hum.,0,Mayo 2017
Gurabo,Trata Hum.,0,Mayo 2017
Hatillo,Trata Hum.,0,Mayo 2017
Hormigueros,Trata Hum.,0,Mayo 2017
Humacao,Trata Hum.,0,Mayo 2017
Isabela,Trata Hum.,0,Mayo 2017
Jayuya,Trata Hum.,0,Mayo 2017
Juana Díaz,Trata Hum.,0,Mayo 2017
Juncos,Trata Hum.,0,Mayo 2017
Lajas,Trata Hum.,0,Mayo 2017
Lares,Trata Hum.,0,Mayo 2017
Las Marías,Trata Hum.,0,Mayo 2017
Las Piedras,Trata Hum.,0,Mayo 2017
Loiza,Trata Hum.,0,Mayo 2017
Luquillo,Trata Hum.,0,Mayo 2017
Manatí,Trata Hum.,0,Mayo 2017
Maricao,Trata Hum.,0,Mayo 2017
Maunabo,Trata Hum.,0,Mayo 2017
Mayagüez,Trata Hum.,0,Mayo 2017
Moca,Trata Hum.,0,Mayo 2017
Morovis,Trata Hum.,0,Mayo 2017
Naguabo,Trata Hum.,0,Mayo 2017
Naranjito,Trata Hum.,0,Mayo 2017
Orocovis,Trata Hum.,0,Mayo 2017
Patillas,Trata Hum.,0,Mayo 2017
Peñuelas,Trata Hum.,0,Mayo 2017
Ponce,Trata Hum.,0,Mayo 2017
Quebradillas,Trata Hum.,0,Mayo 2017
Rincón,Trata Hum.,0,Mayo 2017
Rio Grande,Trata Hum.,0,Mayo 2017
Sabana Grande,Trata Hum.,0,Mayo 2017
Salinas,Trata Hum.,0,Mayo 2017
San Germán,Trata Hum.,0,Mayo 2017
San Juan,Trata Hum.,0,Mayo 2017
San Lorenzo,Trata Hum.,0,Mayo 2017
San Sebastián,Trata Hum.,0,Mayo 2017
Santa Isabel,Trata Hum.,0,Mayo 2017
Toa Alta,Trata Hum.,0,Mayo 2017
Toa Baja,Trata Hum.,0,Mayo 2017
Trujillo Alto,Trata Hum.,0,Mayo 2017
Utuado,Trata Hum.,0,Mayo 2017
Vega Alta,Trata Hum.,0,Mayo 2017
Vega Baja,Trata Hum.,1,Mayo 2017
Vieques,Trata Hum.,0,Mayo 2017
Villalba,Trata Hum.,0,Mayo 2017
Yabucoa,Trata Hum.,0,Mayo 2017
Yauco,Trata Hum.,0,Mayo 2017
Adjuntas,Robo,1,Mayo 2017
Aguada ,Robo,9,Mayo 2017
Aguadilla,Robo,8,Mayo 2017
Aguas Buenas,Robo,10,Mayo 2017
Aibonito,Robo,5,Mayo 2017
Añasco,Robo,4,Mayo 2017
Arecibo,Robo,25,Mayo 2017
Arroyo,Robo,1,Mayo 2017
Barceloneta,Robo,13,Mayo 2017
Barranquitas,Robo,3,Mayo 2017
Bayamón,Robo,152,Mayo 2017
Cabo Rojo,Robo,3,Mayo 2017
Caguas,Robo,109,Mayo 2017
Camuy,Robo,2,Mayo 2017
Canóvanas,Robo,18,Mayo 2017
Carolina,Robo,95,Mayo 2017
Cataño,Robo,6,Mayo 2017
Cayey,Robo,8,Mayo 2017
Ceiba,Robo,3,Mayo 2017
Ciales,Robo,3,Mayo 2017
Cidra,Robo,16,Mayo 2017
Coamo,Robo,3,Mayo 2017
Comerío,Robo,4,Mayo 2017
Corozal,Robo,9,Mayo 2017
Culebra,Robo,0,Mayo 2017
Dorado,Robo,26,Mayo 2017
Fajardo,Robo,7,Mayo 2017
Florida,Robo,4,Mayo 2017
Guánica,Robo,1,Mayo 2017
Guayama,Robo,5,Mayo 2017
Guayanilla,Robo,1,Mayo 2017
Guaynabo,Robo,28,Mayo 2017
Gurabo,Robo,19,Mayo 2017
Hatillo,Robo,11,Mayo 2017
Hormigueros,Robo,2,Mayo 2017
Humacao,Robo,20,Mayo 2017
Isabela,Robo,5,Mayo 2017
Jayuya,Robo,4,Mayo 2017
Juana Díaz,Robo,5,Mayo 2017
Juncos,Robo,13,Mayo 2017
Lajas,Robo,3,Mayo 2017
Lares,Robo,0,Mayo 2017
Las Marías,Robo,1,Mayo 2017
Las Piedras,Robo,9,Mayo 2017
Loiza,Robo,11,Mayo 2017
Luquillo,Robo,5,Mayo 2017
Manatí,Robo,19,Mayo 2017
Maricao,Robo,0,Mayo 2017
Maunabo,Robo,1,Mayo 2017
Mayagüez,Robo,13,Mayo 2017
Moca,Robo,4,Mayo 2017
Morovis,Robo,10,Mayo 2017
Naguabo,Robo,4,Mayo 2017
Naranjito,Robo,14,Mayo 2017
Orocovis,Robo,1,Mayo 2017
Patillas,Robo,1,Mayo 2017
Peñuelas,Robo,3,Mayo 2017
Ponce,Robo,44,Mayo 2017
Quebradillas,Robo,3,Mayo 2017
Rincón,Robo,4,Mayo 2017
Rio Grande,Robo,18,Mayo 2017
Sabana Grande,Robo,2,Mayo 2017
Salinas,Robo,8,Mayo 2017
San Germán,Robo,1,Mayo 2017
San Juan,Robo,371,Mayo 2017
San Lorenzo,Robo,10,Mayo 2017
San Sebastián,Robo,5,Mayo 2017
Santa Isabel,Robo,4,Mayo 2017
Toa Alta,Robo,15,Mayo 2017
Toa Baja,Robo,64,Mayo 2017
Trujillo Alto,Robo,25,Mayo 2017
Utuado,Robo,3,Mayo 2017
Vega Alta,Robo,14,Mayo 2017
Vega Baja,Robo,44,Mayo 2017
Vieques,Robo,2,Mayo 2017
Villalba,Robo,2,Mayo 2017
Yabucoa,Robo,7,Mayo 2017
Yauco,Robo,11,Mayo 2017
Adjuntas,Agr. Grave,8,Mayo 2017
Aguada ,Agr. Grave,6,Mayo 2017
Aguadilla,Agr. Grave,29,Mayo 2017
Aguas Buenas,Agr. Grave,5,Mayo 2017
Aibonito,Agr. Grave,10,Mayo 2017
Añasco,Agr. Grave,18,Mayo 2017
Arecibo,Agr. Grave,37,Mayo 2017
Arroyo,Agr. Grave,17,Mayo 2017
Barceloneta,Agr. Grave,9,Mayo 2017
Barranquitas,Agr. Grave,19,Mayo 2017
Bayamón,Agr. Grave,83,Mayo 2017
Cabo Rojo,Agr. Grave,17,Mayo 2017
Caguas,Agr. Grave,30,Mayo 2017
Camuy,Agr. Grave,17,Mayo 2017
Canóvanas,Agr. Grave,44,Mayo 2017
Carolina,Agr. Grave,86,Mayo 2017
Cataño,Agr. Grave,11,Mayo 2017
Cayey,Agr. Grave,33,Mayo 2017
Ceiba,Agr. Grave,7,Mayo 2017
Ciales,Agr. Grave,7,Mayo 2017
Cidra,Agr. Grave,11,Mayo 2017
Coamo,Agr. Grave,10,Mayo 2017
Comerío,Agr. Grave,5,Mayo 2017
Corozal,Agr. Grave,7,Mayo 2017
Culebra,Agr. Grave,4,Mayo 2017
Dorado,Agr. Grave,9,Mayo 2017
Fajardo,Agr. Grave,20,Mayo 2017
Florida,Agr. Grave,5,Mayo 2017
Guánica,Agr. Grave,12,Mayo 2017
Guayama,Agr. Grave,48,Mayo 2017
Guayanilla,Agr. Grave,14,Mayo 2017
Guaynabo,Agr. Grave,16,Mayo 2017
Gurabo,Agr. Grave,2,Mayo 2017
Hatillo,Agr. Grave,16,Mayo 2017
Hormigueros,Agr. Grave,4,Mayo 2017
Humacao,Agr. Grave,47,Mayo 2017
Isabela,Agr. Grave,13,Mayo 2017
Jayuya,Agr. Grave,12,Mayo 2017
Juana Díaz,Agr. Grave,16,Mayo 2017
Juncos,Agr. Grave,12,Mayo 2017
Lajas,Agr. Grave,6,Mayo 2017
Lares,Agr. Grave,16,Mayo 2017
Las Marías,Agr. Grave,2,Mayo 2017
Las Piedras,Agr. Grave,12,Mayo 2017
Loiza,Agr. Grave,29,Mayo 2017
Luquillo,Agr. Grave,5,Mayo 2017
Manatí,Agr. Grave,27,Mayo 2017
Maricao,Agr. Grave,2,Mayo 2017
Maunabo,Agr. Grave,7,Mayo 2017
Mayagüez,Agr. Grave,44,Mayo 2017
Moca,Agr. Grave,6,Mayo 2017
Morovis,Agr. Grave,14,Mayo 2017
Naguabo,Agr. Grave,12,Mayo 2017
Naranjito,Agr. Grave,15,Mayo 2017
Orocovis,Agr. Grave,15,Mayo 2017
Patillas,Agr. Grave,6,Mayo 2017
Peñuelas,Agr. Grave,10,Mayo 2017
Ponce,Agr. Grave,111,Mayo 2017
Quebradillas,Agr. Grave,6,Mayo 2017
Rincón,Agr. Grave,8,Mayo 2017
Rio Grande,Agr. Grave,13,Mayo 2017
Sabana Grande,Agr. Grave,11,Mayo 2017
Salinas,Agr. Grave,18,Mayo 2017
San Germán,Agr. Grave,11,Mayo 2017
San Juan,Agr. Grave,231,Mayo 2017
San Lorenzo,Agr. Grave,12,Mayo 2017
San Sebastián,Agr. Grave,15,Mayo 2017
Santa Isabel,Agr. Grave,13,Mayo 2017
Toa Alta,Agr. Grave,16,Mayo 2017
Toa Baja,Agr. Grave,22,Mayo 2017
Trujillo Alto,Agr. Grave,22,Mayo 2017
Utuado,Agr. Grave,25,Mayo 2017
Vega Alta,Agr. Grave,20,Mayo 2017
Vega Baja,Agr. Grave,14,Mayo 2017
Vieques,Agr. Grave,10,Mayo 2017
Villalba,Agr. Grave,13,Mayo 2017
Yabucoa,Agr. Grave,22,Mayo 2017
Yauco,Agr. Grave,24,Mayo 2017
Adjuntas,Esc.,13,Mayo 2017
Aguada ,Esc.,30,Mayo 2017
Aguadilla,Esc.,67,Mayo 2017
Aguas Buenas,Esc.,29,Mayo 2017
Aibonito,Esc.,28,Mayo 2017
Añasco,Esc.,13,Mayo 2017
Arecibo,Esc.,49,Mayo 2017
Arroyo,Esc.,11,Mayo 2017
Barceloneta,Esc.,19,Mayo 2017
Barranquitas,Esc.,28,Mayo 2017
Bayamón,Esc.,153,Mayo 2017
Cabo Rojo,Esc.,29,Mayo 2017
Caguas,Esc.,111,Mayo 2017
Camuy,Esc.,18,Mayo 2017
Canóvanas,Esc.,28,Mayo 2017
Carolina,Esc.,162,Mayo 2017
Cataño,Esc.,16,Mayo 2017
Cayey,Esc.,39,Mayo 2017
Ceiba,Esc.,7,Mayo 2017
Ciales,Esc.,11,Mayo 2017
Cidra,Esc.,20,Mayo 2017
Coamo,Esc.,23,Mayo 2017
Comerío,Esc.,5,Mayo 2017
Corozal,Esc.,18,Mayo 2017
Culebra,Esc.,7,Mayo 2017
Dorado,Esc.,30,Mayo 2017
Fajardo,Esc.,21,Mayo 2017
Florida,Esc.,4,Mayo 2017
Guánica,Esc.,9,Mayo 2017
Guayama,Esc.,72,Mayo 2017
Guayanilla,Esc.,10,Mayo 2017
Guaynabo,Esc.,56,Mayo 2017
Gurabo,Esc.,15,Mayo 2017
Hatillo,Esc.,15,Mayo 2017
Hormigueros,Esc.,5,Mayo 2017
Humacao,Esc.,66,Mayo 2017
Isabela,Esc.,21,Mayo 2017
Jayuya,Esc.,10,Mayo 2017
Juana Díaz,Esc.,24,Mayo 2017
Juncos,Esc.,17,Mayo 2017
Lajas,Esc.,10,Mayo 2017
Lares,Esc.,33,Mayo 2017
Las Marías,Esc.,4,Mayo 2017
Las Piedras,Esc.,10,Mayo 2017
Loiza,Esc.,22,Mayo 2017
Luquillo,Esc.,17,Mayo 2017
Manatí,Esc.,27,Mayo 2017
Maricao,Esc.,2,Mayo 2017
Maunabo,Esc.,5,Mayo 2017
Mayagüez,Esc.,65,Mayo 2017
Moca,Esc.,24,Mayo 2017
Morovis,Esc.,27,Mayo 2017
Naguabo,Esc.,20,Mayo 2017
Naranjito,Esc.,28,Mayo 2017
Orocovis,Esc.,23,Mayo 2017
Patillas,Esc.,1,Mayo 2017
Peñuelas,Esc.,4,Mayo 2017
Ponce,Esc.,83,Mayo 2017
Quebradillas,Esc.,5,Mayo 2017
Rincón,Esc.,12,Mayo 2017
Rio Grande,Esc.,32,Mayo 2017
Sabana Grande,Esc.,3,Mayo 2017
Salinas,Esc.,22,Mayo 2017
San Germán,Esc.,7,Mayo 2017
San Juan,Esc.,464,Mayo 2017
San Lorenzo,Esc.,28,Mayo 2017
San Sebastián,Esc.,17,Mayo 2017
Santa Isabel,Esc.,9,Mayo 2017
Toa Alta,Esc.,42,Mayo 2017
Toa Baja,Esc.,66,Mayo 2017
Trujillo Alto,Esc.,46,Mayo 2017
Utuado,Esc.,31,Mayo 2017
Vega Alta,Esc.,39,Mayo 2017
Vega Baja,Esc.,69,Mayo 2017
Vieques,Esc.,18,Mayo 2017
Villalba,Esc.,6,Mayo 2017
Yabucoa,Esc.,23,Mayo 2017
Yauco,Esc.,18,Mayo 2017
Adjuntas,Apr. I,8,Mayo 2017
Aguada ,Apr. I,29,Mayo 2017
Aguadilla,Apr. I,95,Mayo 2017
Aguas Buenas,Apr. I,42,Mayo 2017
Aibonito,Apr. I,43,Mayo 2017
Añasco,Apr. I,19,Mayo 2017
Arecibo,Apr. I,123,Mayo 2017
Arroyo,Apr. I,34,Mayo 2017
Barceloneta,Apr. I,116,Mayo 2017
Barranquitas,Apr. I,63,Mayo 2017
Bayamón,Apr. I,1035,Mayo 2017
Cabo Rojo,Apr. I,68,Mayo 2017
Caguas,Apr. I,590,Mayo 2017
Camuy,Apr. I,66,Mayo 2017
Canóvanas,Apr. I,116,Mayo 2017
Carolina,Apr. I,633,Mayo 2017
Cataño,Apr. I,67,Mayo 2017
Cayey,Apr. I,113,Mayo 2017
Ceiba,Apr. I,13,Mayo 2017
Ciales,Apr. I,22,Mayo 2017
Cidra,Apr. I,55,Mayo 2017
Coamo,Apr. I,36,Mayo 2017
Comerío,Apr. I,27,Mayo 2017
Corozal,Apr. I,33,Mayo 2017
Culebra,Apr. I,11,Mayo 2017
Dorado,Apr. I,182,Mayo 2017
Fajardo,Apr. I,63,Mayo 2017
Florida,Apr. I,7,Mayo 2017
Guánica,Apr. I,19,Mayo 2017
Guayama,Apr. I,90,Mayo 2017
Guayanilla,Apr. I,22,Mayo 2017
Guaynabo,Apr. I,224,Mayo 2017
Gurabo,Apr. I,32,Mayo 2017
Hatillo,Apr. I,79,Mayo 2017
Hormigueros,Apr. I,4,Mayo 2017
Humacao,Apr. I,144,Mayo 2017
Isabela,Apr. I,93,Mayo 2017
Jayuya,Apr. I,17,Mayo 2017
Juana Díaz,Apr. I,81,Mayo 2017
Juncos,Apr. I,53,Mayo 2017
Lajas,Apr. I,24,Mayo 2017
Lares,Apr. I,44,Mayo 2017
Las Marías,Apr. I,5,Mayo 2017
Las Piedras,Apr. I,30,Mayo 2017
Loiza,Apr. I,70,Mayo 2017
Luquillo,Apr. I,59,Mayo 2017
Manatí,Apr. I,90,Mayo 2017
Maricao,Apr. I,13,Mayo 2017
Maunabo,Apr. I,17,Mayo 2017
Mayagüez,Apr. I,327,Mayo 2017
Moca,Apr. I,24,Mayo 2017
Morovis,Apr. I,36,Mayo 2017
Naguabo,Apr. I,46,Mayo 2017
Naranjito,Apr. I,51,Mayo 2017
Orocovis,Apr. I,38,Mayo 2017
Patillas,Apr. I,25,Mayo 2017
Peñuelas,Apr. I,25,Mayo 2017
Ponce,Apr. I,497,Mayo 2017
Quebradillas,Apr. I,54,Mayo 2017
Rincón,Apr. I,33,Mayo 2017
Rio Grande,Apr. I,58,Mayo 2017
Sabana Grande,Apr. I,12,Mayo 2017
Salinas,Apr. I,59,Mayo 2017
San Germán,Apr. I,16,Mayo 2017
San Juan,Apr. I,1839,Mayo 2017
San Lorenzo,Apr. I,38,Mayo 2017
San Sebastián,Apr. I,40,Mayo 2017
Santa Isabel,Apr. I,55,Mayo 2017
Toa Alta,Apr. I,90,Mayo 2017
Toa Baja,Apr. I,273,Mayo 2017
Trujillo Alto,Apr. I,106,Mayo 2017
Utuado,Apr. I,40,Mayo 2017
Vega Alta,Apr. I,117,Mayo 2017
Vega Baja,Apr. I,151,Mayo 2017
Vieques,Apr. I,29,Mayo 2017
Villalba,Apr. I,18,Mayo 2017
Yabucoa,Apr. I,45,Mayo 2017
Yauco,Apr. I,36,Mayo 2017
Adjuntas,H. Auto,2,Mayo 2017
Aguada ,H. Auto,4,Mayo 2017
Aguadilla,H. Auto,8,Mayo 2017
Aguas Buenas,H. Auto,15,Mayo 2017
Aibonito,H. Auto,10,Mayo 2017
Añasco,H. Auto,2,Mayo 2017
Arecibo,H. Auto,22,Mayo 2017
Arroyo,H. Auto,2,Mayo 2017
Barceloneta,H. Auto,23,Mayo 2017
Barranquitas,H. Auto,20,Mayo 2017
Bayamón,H. Auto,312,Mayo 2017
Cabo Rojo,H. Auto,5,Mayo 2017
Caguas,H. Auto,111,Mayo 2017
Camuy,H. Auto,6,Mayo 2017
Canóvanas,H. Auto,12,Mayo 2017
Carolina,H. Auto,90,Mayo 2017
Cataño,H. Auto,6,Mayo 2017
Cayey,H. Auto,34,Mayo 2017
Ceiba,H. Auto,0,Mayo 2017
Ciales,H. Auto,4,Mayo 2017
Cidra,H. Auto,12,Mayo 2017
Coamo,H. Auto,4,Mayo 2017
Comerío,H. Auto,8,Mayo 2017
Corozal,H. Auto,16,Mayo 2017
Culebra,H. Auto,2,Mayo 2017
Dorado,H. Auto,39,Mayo 2017
Fajardo,H. Auto,10,Mayo 2017
Florida,H. Auto,0,Mayo 2017
Guánica,H. Auto,1,Mayo 2017
Guayama,H. Auto,9,Mayo 2017
Guayanilla,H. Auto,3,Mayo 2017
Guaynabo,H. Auto,33,Mayo 2017
Gurabo,H. Auto,8,Mayo 2017
Hatillo,H. Auto,11,Mayo 2017
Hormigueros,H. Auto,1,Mayo 2017
Humacao,H. Auto,12,Mayo 2017
Isabela,H. Auto,8,Mayo 2017
Jayuya,H. Auto,0,Mayo 2017
Juana Díaz,H. Auto,2,Mayo 2017
Juncos,H. Auto,6,Mayo 2017
Lajas,H. Auto,1,Mayo 2017
Lares,H. Auto,4,Mayo 2017
Las Marías,H. Auto,0,Mayo 2017
Las Piedras,H. Auto,6,Mayo 2017
Loiza,H. Auto,4,Mayo 2017
Luquillo,H. Auto,1,Mayo 2017
Manatí,H. Auto,21,Mayo 2017
Maricao,H. Auto,0,Mayo 2017
Maunabo,H. Auto,1,Mayo 2017
Mayagüez,H. Auto,19,Mayo 2017
Moca,H. Auto,7,Mayo 2017
Morovis,H. Auto,14,Mayo 2017
Naguabo,H. Auto,3,Mayo 2017
Naranjito,H. Auto,30,Mayo 2017
Orocovis,H. Auto,2,Mayo 2017
Patillas,H. Auto,0,Mayo 2017
Peñuelas,H. Auto,0,Mayo 2017
Ponce,H. Auto,23,Mayo 2017
Quebradillas,H. Auto,2,Mayo 2017
Rincón,H. Auto,3,Mayo 2017
Rio Grande,H. Auto,8,Mayo 2017
Sabana Grande,H. Auto,0,Mayo 2017
Salinas,H. Auto,3,Mayo 2017
San Germán,H. Auto,3,Mayo 2017
San Juan,H. Auto,388,Mayo 2017
San Lorenzo,H. Auto,4,Mayo 2017
San Sebastián,H. Auto,4,Mayo 2017
Santa Isabel,H. Auto,2,Mayo 2017
Toa Alta,H. Auto,31,Mayo 2017
Toa Baja,H. Auto,73,Mayo 2017
Trujillo Alto,H. Auto,18,Mayo 2017
Utuado,H. Auto,1,Mayo 2017
Vega Alta,H. Auto,32,Mayo 2017
Vega Baja,H. Auto,29,Mayo 2017
Vieques,H. Auto,1,Mayo 2017
Villalba,H. Auto,4,Mayo 2017
Yabucoa,H. Auto,4,Mayo 2017
Yauco,H. Auto,6,Mayo 2017
Adjuntas,Tipo I,27,Abril 2017
Aguada ,Tipo I,74,Abril 2017
Aguadilla,Tipo I,162,Abril 2017
Aguas Buenas,Tipo I,87,Abril 2017
Aibonito,Tipo I,80,Abril 2017
Añasco,Tipo I,45,Abril 2017
Arecibo,Tipo I,195,Abril 2017
Arroyo,Tipo I,58,Abril 2017
Barceloneta,Tipo I,149,Abril 2017
Barranquitas,Tipo I,103,Abril 2017
Bayamón,Tipo I,1409,Abril 2017
Cabo Rojo,Tipo I,85,Abril 2017
Caguas,Tipo I,739,Abril 2017
Camuy,Tipo I,90,Abril 2017
Canóvanas,Tipo I,182,Abril 2017
Carolina,Tipo I,880,Abril 2017
Cataño,Tipo I,91,Abril 2017
Cayey,Tipo I,185,Abril 2017
Ceiba,Tipo I,26,Abril 2017
Ciales,Tipo I,37,Abril 2017
Cidra,Tipo I,101,Abril 2017
Coamo,Tipo I,60,Abril 2017
Comerío,Tipo I,37,Abril 2017
Corozal,Tipo I,56,Abril 2017
Culebra,Tipo I,18,Abril 2017
Dorado,Tipo I,237,Abril 2017
Fajardo,Tipo I,98,Abril 2017
Florida,Tipo I,15,Abril 2017
Guánica,Tipo I,34,Abril 2017
Guayama,Tipo I,179,Abril 2017
Guayanilla,Tipo I,41,Abril 2017
Guaynabo,Tipo I,287,Abril 2017
Gurabo,Tipo I,61,Abril 2017
Hatillo,Tipo I,112,Abril 2017
Hormigueros,Tipo I,14,Abril 2017
Humacao,Tipo I,244,Abril 2017
Isabela,Tipo I,106,Abril 2017
Jayuya,Tipo I,31,Abril 2017
Juana Díaz,Tipo I,118,Abril 2017
Juncos,Tipo I,77,Abril 2017
Lajas,Tipo I,36,Abril 2017
Lares,Tipo I,79,Abril 2017
Las Marías,Tipo I,8,Abril 2017
Las Piedras,Tipo I,51,Abril 2017
Loiza,Tipo I,112,Abril 2017
Luquillo,Tipo I,71,Abril 2017
Manatí,Tipo I,144,Abril 2017
Maricao,Tipo I,14,Abril 2017
Maunabo,Tipo I,28,Abril 2017
Mayagüez,Tipo I,393,Abril 2017
Moca,Tipo I,54,Abril 2017
Morovis,Tipo I,82,Abril 2017
Naguabo,Tipo I,71,Abril 2017
Naranjito,Tipo I,105,Abril 2017
Orocovis,Tipo I,68,Abril 2017
Patillas,Tipo I,25,Abril 2017
Peñuelas,Tipo I,33,Abril 2017
Ponce,Tipo I,624,Abril 2017
Quebradillas,Tipo I,60,Abril 2017
Rincón,Tipo I,56,Abril 2017
Rio Grande,Tipo I,105,Abril 2017
Sabana Grande,Tipo I,17,Abril 2017
Salinas,Tipo I,87,Abril 2017
San Germán,Tipo I,31,Abril 2017
San Juan,Tipo I,2705,Abril 2017
San Lorenzo,Tipo I,77,Abril 2017
San Sebastián,Tipo I,65,Abril 2017
Santa Isabel,Tipo I,69,Abril 2017
Toa Alta,Tipo I,158,Abril 2017
Toa Baja,Tipo I,391,Abril 2017
Trujillo Alto,Tipo I,184,Abril 2017
Utuado,Tipo I,84,Abril 2017
Vega Alta,Tipo I,172,Abril 2017
Vega Baja,Tipo I,240,Abril 2017
Vieques,Tipo I,45,Abril 2017
Villalba,Tipo I,35,Abril 2017
Yabucoa,Tipo I,81,Abril 2017
Yauco,Tipo I,86,Abril 2017
Adjuntas,Ases.,0,Abril 2017
Aguada ,Ases.,0,Abril 2017
Aguadilla,Ases.,2,Abril 2017
Aguas Buenas,Ases.,5,Abril 2017
Aibonito,Ases.,1,Abril 2017
Añasco,Ases.,2,Abril 2017
Arecibo,Ases.,2,Abril 2017
Arroyo,Ases.,1,Abril 2017
Barceloneta,Ases.,3,Abril 2017
Barranquitas,Ases.,1,Abril 2017
Bayamón,Ases.,11,Abril 2017
Cabo Rojo,Ases.,1,Abril 2017
Caguas,Ases.,11,Abril 2017
Camuy,Ases.,0,Abril 2017
